Date,Open
07/09/2025,2223.82
07/08/2025,2159
07/07/2025,2177.03
07/06/2025,2137.24
07/05/2025,2129.72
07/04/2025,2207.1
07/03/2025,2185.01
07/02/2025,2036.88
07/01/2025,2116.37
06/30/2025,2142.54
06/29/2025,2076.31
06/28/2025,2059.94
06/27/2025,2073.42
06/26/2025,2097.5
06/25/2025,2109.57
06/24/2025,2076.98
06/23/2025,1944.24
06/22/2025,1974.5
06/21/2025,2094.5
06/20/2025,2188.36
06/19/2025,2195.54
06/18/2025,2200.1
06/17/2025,2234.55
06/16/2025,2187.82
06/15/2025,2190.53
06/14/2025,2215.35
06/13/2025,2157.78
06/12/2025,2404.14
06/11/2025,2439.35
06/10/2025,2377.05
06/09/2025,2193.99
06/08/2025,2206.87
06/07/2025,2173.66
06/06/2025,2117.23
06/05/2025,2288.28
06/04/2025,2294.94
06/03/2025,2296.66
06/02/2025,2225.72
06/01/2025,2221.58
05/31/2025,2223.42
05/30/2025,2276.54
05/29/2025,2412.53
05/28/2025,2336.93
05/27/2025,2226.18
05/26/2025,2247.2
05/25/2025,2197.33
05/24/2025,2221.04
05/23/2025,2353.47
05/22/2025,2283.88
05/21/2025,2245.12
05/20/2025,2243.83
05/19/2025,2176.01
05/18/2025,2221.48
05/17/2025,2234.18
05/16/2025,2269.94
05/15/2025,2346.85
05/14/2025,2412.72
05/13/2025,2223.48
05/12/2025,2238.17
05/11/2025,2266.56
05/10/2025,2078.2
05/09/2025,1974.62
05/08/2025,1616.29
05/07/2025,1626.1
05/06/2025,1610.76
05/05/2025,1596.35
05/04/2025,1626.97
05/03/2025,1624.55
05/02/2025,1638.43
05/01/2025,1593.96
04/30/2025,1583.27
04/29/2025,1575.83
04/28/2025,1560.26
04/27/2025,1610.15
04/26/2025,1576.14
04/25/2025,1565
04/24/2025,1575.91
04/23/2025,1558.56
04/22/2025,1373.06
04/21/2025,1403.18
04/20/2025,1421.46
04/19/2025,1396.97
04/18/2025,1395.78
04/17/2025,1396.68
04/16/2025,1405.6
04/15/2025,1432.08
04/14/2025,1419.36
04/13/2025,1425.53
04/12/2025,1374.47
04/11/2025,1347.96
04/10/2025,1497.05
04/09/2025,1287.67
04/08/2025,1415.29
04/07/2025,1460.13
04/06/2025,1652.63
04/05/2025,1663.15
04/04/2025,1640.03
04/03/2025,1674.42
04/02/2025,1749.43
04/01/2025,1686.42
03/31/2025,1662.65
03/30/2025,1687.45
03/29/2025,1750.31
03/28/2025,1848.12
03/27/2025,1878.35
03/26/2025,1920.64
03/25/2025,1923.56
03/24/2025,1837.92
03/23/2025,1829.29
03/22/2025,1823.12
03/21/2025,1835.7
03/20/2025,1870.35
03/19/2025,1773.06
03/18/2025,1752.28
03/17/2025,1747.13
03/16/2025,1767.57
03/15/2025,1756.58
03/14/2025,1725.92
03/13/2025,1750.84
03/12/2025,1756.75
03/11/2025,1654.06
03/10/2025,1889.12
03/09/2025,2039.6
03/08/2025,1984.28
03/07/2025,1994.3
03/06/2025,2081.19
03/05/2025,2038.8
03/04/2025,2026.42
03/03/2025,2357.05
03/02/2025,2142.45
03/01/2025,2140.15
02/28/2025,2204.79
02/27/2025,2225.65
02/26/2025,2355.03
02/25/2025,2379.64
02/24/2025,2663
02/23/2025,2647.23
02/22/2025,2564.52
02/21/2025,2603.38
02/20/2025,2610.5
02/19/2025,2553.73
02/18/2025,2603.11
02/17/2025,2543.95
02/16/2025,2571.28
02/15/2025,2593.59
02/14/2025,2557.27
02/13/2025,2631.23
02/12/2025,2518.71
02/11/2025,2624.87
02/10/2025,2552.38
02/09/2025,2559.6
02/08/2025,2556.82
02/07/2025,2601.37
02/06/2025,2673.62
02/05/2025,2647.63
02/04/2025,2759.88
02/03/2025,2753.74
02/02/2025,3043.75
02/01/2025,3206.38
01/31/2025,3143.44
01/30/2025,3003.32
01/29/2025,2986.15
01/28/2025,3027.7
01/27/2025,3055.79
01/26/2025,3165.58
01/25/2025,3128.06
01/24/2025,3167.77
01/23/2025,3125.68
01/22/2025,3213.19
01/21/2025,3137.03
01/20/2025,3091.93
01/19/2025,3254.76
01/18/2025,3380.29
01/17/2025,3222.76
01/16/2025,3312.3
01/15/2025,3130.05
01/14/2025,3064.38
01/13/2025,3206.46
01/12/2025,3199.75
01/11/2025,3180.98
01/10/2025,3132.05
01/09/2025,3235.32
01/08/2025,3292.07
01/07/2025,3540.13
01/06/2025,3507.9
01/05/2025,3536.63
01/04/2025,3492.23
01/03/2025,3351.69
01/02/2025,3282.12
01/01/2025,3236.81
12/31/2024,3188.78
12/30/2024,3242.82
12/29/2024,3242.38
12/28/2024,3202.87
12/27/2024,3213.61
12/26/2024,3343.9
12/25/2024,3349.55
12/24/2024,3273.91
12/23/2024,3113.47
12/22/2024,3226.35
12/21/2024,3320.25
12/20/2024,3280.92
12/19/2024,3503.83
12/18/2024,3705.83
12/17/2024,3772.58
12/16/2024,3804.42
12/15/2024,3692.73
12/14/2024,3734.37
12/13/2024,3701.52
12/12/2024,3637.13
12/11/2024,3419.27
12/10/2024,3550.81
12/09/2024,3753
12/08/2024,3793.09
12/07/2024,3785.12
12/06/2024,3642.1
12/05/2024,3601.88
12/04/2024,3519.52
12/03/2024,3469.39
12/02/2024,3526.09
12/01/2024,3493.53
11/30/2024,3383.97
11/29/2024,3369.01
11/28/2024,3444.74
11/27/2024,3171.03
11/26/2024,3290.14
11/25/2024,3185.68
11/24/2024,3286.83
11/23/2024,3215.09
11/22/2024,3173.85
11/21/2024,2922.9
11/20/2024,2937.78
11/19/2024,2973.24
11/18/2024,2945.46
11/17/2024,2982.3
11/16/2024,2940.4
11/15/2024,2899.54
11/14/2024,3029.16
11/13/2024,3083.4
11/12/2024,3129.12
11/11/2024,2975.63
11/10/2024,2904.7
11/09/2024,2783.98
11/08/2024,2703.51
11/07/2024,2564.31
11/06/2024,2301.56
11/05/2024,2205.81
11/04/2024,2255.11
11/03/2024,2282.7
11/02/2024,2314.08
11/01/2024,2319.64
10/31/2024,2454.24
10/30/2024,2411.03
10/29/2024,2383.48
10/28/2024,2314.96
10/27/2024,2288.19
10/26/2024,2260.44
10/25/2024,2329.41
10/24/2024,2365.51
10/23/2024,2423.04
10/22/2024,2435.72
10/21/2024,2531.16
10/20/2024,2427.9
10/19/2024,2427.87
10/18/2024,2400.98
10/17/2024,2409.28
10/16/2024,2379.43
10/15/2024,2409.56
10/14/2024,2249.74
10/13/2024,2254.03
10/12/2024,2237.75
10/11/2024,2178.64
10/10/2024,2175.51
10/09/2024,2223.93
10/08/2024,2218.41
10/07/2024,2273
10/06/2024,2198.64
10/05/2024,2206.75
10/04/2024,2125.02
10/03/2024,2154.64
10/02/2024,2231.93
10/01/2024,2357.13
09/30/2024,2371.62
09/29/2024,2388.47
09/28/2024,2413.23
09/27/2024,2364.69
09/26/2024,2305.71
09/25/2024,2362.31
09/24/2024,2373.01
09/23/2024,2333.97
09/22/2024,2341.59
09/21/2024,2298.09
09/20/2024,2187.59
09/19/2024,2158.53
09/18/2024,2086.01
09/17/2024,2050.04
09/16/2024,2072.31
09/15/2024,2187.56
09/14/2024,2196.82
09/13/2024,2122.03
09/12/2024,2139.87
09/11/2024,2154.99
09/10/2024,2130
09/09/2024,2110.43
09/08/2024,2284.20
09/07/2024,2169.57
09/06/2024,2400.55
09/05/2024,2446.16
09/04/2024,2364.51
09/03/2024,2528.80
09/02/2024,2450.87
09/01/2024,2488.74
08/31/2024,2522.10
08/30/2024,2518.30
08/29/2024,2522.88
08/28/2024,2678.13
08/27/2024,2679.15
08/26/2024,2744.32
08/25/2024,2763.84
08/24/2024,2751.87
08/23/2024,2635.95
08/22/2024,2616.35
08/21/2024,2590.80
08/20/2024,2660.29
08/19/2024,2644.81
08/18/2024,2606.77
08/17/2024,2594.80
08/16/2024,2580.11
08/15/2024,2652.44
08/14/2024,2710.53
08/13/2024,2656.58
08/12/2024,2541.02
08/11/2024,2646.32
08/10/2024,2602.56
08/09/2024,2696.17
08/08/2024,2432.60
08/07/2024,2508.21
08/06/2024,2492.02
08/05/2024,2320.05
08/04/2024,2915.96
08/03/2024,3007.85
08/02/2024,3169.09
08/01/2024,3179.48
07/31/2024,3294.99
07/30/2024,3321.09
07/29/2024,3348.66
07/28/2024,3237.79
07/27/2024,3245.24
07/26/2024,3236.02
07/25/2024,3170.41
07/24/2024,3448.78
07/23/2024,3474.10
07/22/2024,3486.50
07/21/2024,3514.47
07/20/2024,3493.74
07/19/2024,3407.19
07/18/2024,3425.19
07/17/2024,3477.98
07/16/2024,3464.27
07/15/2024,3329.75
07/14/2024,3174.01
07/13/2024,3127.35
07/12/2024,3085.82
07/11/2024,3076.79
07/10/2024,3080.43
07/09/2024,3066.26
07/08/2024,2880.21
07/07/2024,3051.09
07/06/2024,2988.05
07/05/2024,2921.23
07/04/2024,3242.70
07/03/2024,3360.11
07/02/2024,3457.09
07/01/2024,3498.28
06/30/2024,3371.29
06/29/2024,3385.83
06/28/2024,3460.53
06/27/2024,3383.85
06/26/2024,3395.64
06/25/2024,3372.76
06/24/2024,3402.96
06/23/2024,3518.61
06/22/2024,3506.76
06/21/2024,3502.02
06/20/2024,3552.75
06/19/2024,3431.06
06/18/2024,3440.60
06/17/2024,3582.49
06/16/2024,3555.59
06/15/2024,3412.21
06/14/2024,3491.00
06/13/2024,3501.91
06/12/2024,3509.64
06/11/2024,3595.75
06/10/2024,3683.34
06/09/2024,3674.66
06/08/2024,3690.00
06/07/2024,3806.16
06/06/2024,3861.66
06/05/2024,3804.10
06/04/2024,3771.02
06/03/2024,3807.54
06/02/2024,3805.45
06/01/2024,3777.58
05/31/2024,3753.00
05/30/2024,3791.64
05/29/2024,3850.92
05/28/2024,3894.15
05/27/2024,3920.83
05/26/2024,3771.58
05/25/2024,3745.30
05/24/2024,3803.83
05/23/2024,3782.41
05/22/2024,3793.95
05/21/2024,3697.64
05/20/2024,3087.62
05/19/2024,3129.93
05/18/2024,3115.21
05/17/2024,2949.42
05/16/2024,3013.51
05/15/2024,2902.67
05/14/2024,2941.02
05/13/2024,2890.64
05/12/2024,2921.15
05/11/2024,2910.61
05/10/2024,3029.02
05/09/2024,2998.10
05/08/2024,3032.34
05/07/2024,3048.71
05/06/2024,3134.50
05/05/2024,3086.71
05/04/2024,3111.45
05/03/2024,3010.95
05/02/2024,2868.07
05/01/2024,2988.24
04/30/2024,3193.40
04/29/2024,3222.41
04/28/2024,3312.15
04/27/2024,3119.85
04/26/2024,3141.58
04/25/2024,3146.52
04/24/2024,3236.84
04/23/2024,3184.24
04/22/2024,3190.01
04/21/2024,3168.01
04/20/2024,3075.54
